Area,Bedrooms,Bathrooms,Floors,AccessWidth,FacadeWidth,Distribute,GDP_USD,LegalStatus_no,LegalStatus_yes,Furnishing_no,Furnishing_yes
0.3059713348622306,0.2214160240421796,0.393159634972005,0.6444425975133798,0.625,0.55,0.0043888391219916,0.8033365415463587,False,True,False,True
0.4472535295157218,0.393159634972005,0.393159634972005,0.5374933317397157,0.5,0.5,0.036219946973204,0.8033365415463587,False,True,False,True
0.4647764313681803,0.2214160240421796,0.393159634972005,0.5374933317397157,0.25,0.125,0.007650407921554,0.0659287776708373,False,True,False,True
0.0660817096593254,0.2214160240421796,0.2214160240421796,0.6444425975133798,0.5,0.375,0.0285174341123021,0.8033365415463587,True,False,True,False
0.3951780857017815,0.2214160240421796,0.0,0.5374933317397157,0.875,0.375,0.0006473036695905,0.0463586782162335,False,True,False,True
0.2205956986328707,0.0,0.0,0.2378445882733132,0.5,0.5,0.0230303831917481,1.0,False,True,False,True
0.3059713348622306,0.0,0.0,0.0,0.5,0.5,0.0291907902515666,1.0,False,True,False,True
0.4287093142946496,0.0,0.0,0.2378445882733132,0.5,0.5,0.0291907902515666,1.0,False,True,True,False
0.5403066773704623,0.2214160240421796,0.0,0.4065980092400666,0.4375,0.375,0.0037846222291695,1.0,True,False,True,False
0.5312131352867999,0.2214160240421796,0.2214160240421796,0.2378445882733132,0.5,0.75,0.0202227285753507,1.0,False,True,True,False
0.3807095796582744,0.9266440175323888,0.9266440175323888,0.7348669132988574,0.25,0.5,0.0073648327732052,0.8033365415463587,False,True,False,True
0.4759443253260884,0.2214160240421796,0.2214160240421796,0.4065980092400666,0.875,0.5,0.0037846222291695,1.0,False,True,False,True
0.5403066773704623,0.2214160240421796,0.2214160240421796,0.5374933317397157,0.25,0.1999999999999999,0.0313040463493475,0.8033365415463587,False,True,False,True
0.3241621327005546,0.393159634972005,0.2214160240421796,0.5374933317397157,0.5,0.625,0.0070211405771223,0.8033365415463587,False,True,False,True
0.5312131352867999,0.393159634972005,0.393159634972005,0.5374933317397157,0.5,0.875,0.0225474104847162,0.8033365415463587,False,True,True,False
0.3807095796582744,0.5334843825603837,0.2214160240421796,0.6444425975133798,0.3125,0.3249999999999999,0.0115733086436082,0.8033365415463587,False,True,False,True
0.5429848333190539,0.652127266143167,0.652127266143167,0.6444425975133798,0.875,0.2075,0.0175443342892585,1.0,False,True,False,True
0.4350115463828452,0.8455527410785884,0.393159634972005,0.7348669132988574,0.5,0.5,0.036219946973204,0.8033365415463587,False,True,False,True
0.4919940615155791,0.393159634972005,0.2214160240421796,0.4065980092400666,0.875,0.5,0.0314884176731938,1.0,False,True,True,False
0.6524717288108768,0.393159634972005,0.393159634972005,0.6444425975133798,0.5,0.375,0.0225474104847162,0.8033365415463587,False,True,False,True
0.4590420001807482,0.393159634972005,0.2214160240421796,0.4065980092400666,0.25,0.375,0.0174882212776531,0.2351620147577799,False,True,False,True
